Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
1,2024-01-01,,11:00:00,21736.15,,,,,2024-01-01,,15:15:00,21725.3,-572.0,,,2080.0,-715.0,Exit Condition Met For Trade
1.1,2024-01-01,Monday,11:00:00,121.95,65,CE,21750.0,Sell,2024-01-01,Monday,14:02:00,146.35,-1585.9999999999995,-20.008200082000812,2024-01-04,,,Stop Loss Hit
1.2,2024-01-01,Monday,11:00:00,102.7,65,PE,21750.0,Sell,2024-01-01,Monday,15:15:00,87.1,1014.0000000000006,15.189873417721527,2024-01-04,,,Exit Condition Met For Trade
2,2024-01-02,,11:00:00,21615.95,,,,,2024-01-02,,14:13:00,21658.0,-2658.5,,,377.0,-2658.5,
2.1,2024-01-02,Tuesday,11:00:00,124.9,65,CE,21600.0,Sell,2024-01-02,Tuesday,14:13:00,149.9,-1625.0,-20.0160128102482,2024-01-04,,,Stop Loss Hit
2.2,2024-01-02,Tuesday,11:00:00,79.55,65,PE,21600.0,Sell,2024-01-02,Tuesday,11:16:00,95.45,-1033.5000000000005,-19.98742928975488,2024-01-04,,,Stop Loss Hit
3,2024-01-03,,11:00:00,21563.25,,,,,2024-01-03,,12:25:00,21528.45,-1878.5,,,234.0,-1878.5,
3.1,2024-01-03,Wednesday,11:00:00,84.45,65,CE,21550.0,Sell,2024-01-03,Wednesday,11:48:00,101.35,-1098.4999999999995,-20.011841326228527,2024-01-04,,,Stop Loss Hit
3.2,2024-01-03,Wednesday,11:00:00,60.05,65,PE,21550.0,Sell,2024-01-03,Wednesday,12:25:00,72.05,-780.0,-19.983347210657787,2024-01-04,,,Stop Loss Hit
4,2024-01-04,,11:00:00,21635.1,,,,,2024-01-04,,15:15:00,21651.75,1605.5,,,1638.0,-289.25,Exit Condition Met For Trade
4.1,2024-01-04,Thursday,11:00:00,18.1,65,CE,21650.0,Sell,2024-01-04,Thursday,11:04:00,21.7,-233.99999999999986,-19.889502762430926,2024-01-04,,,Stop Loss Hit
4.2,2024-01-04,Thursday,11:00:00,30.4,65,PE,21650.0,Sell,2024-01-04,Thursday,15:15:00,2.1,1839.4999999999998,93.09210526315789,2024-01-04,,,Exit Condition Met For Trade
5,2024-01-05,,11:00:00,21688.5,,,,,2024-01-05,,15:03:00,21717.0,-3113.5,,,721.5,-3113.5,
5.1,2024-01-05,Friday,11:00:00,117.6,65,CE,21700.0,Sell,2024-01-05,Friday,15:03:00,141.1,-1527.5,-19.982993197278912,2024-01-11,,,Stop Loss Hit
5.2,2024-01-05,Friday,11:00:00,121.9,65,PE,21700.0,Sell,2024-01-05,Friday,14:18:00,146.3,-1586.0000000000005,-20.016406890894178,2024-01-11,,,Stop Loss Hit
6,2024-01-08,,11:00:00,21634.85,,,,,2024-01-08,,15:02:00,21523.2,-2642.25,,,1170.0,-2642.25,
6.1,2024-01-08,Monday,11:00:00,95.4,65,CE,21650.0,Sell,2024-01-08,Monday,15:02:00,114.5,-1241.4999999999995,-20.020964360586998,2024-01-11,,,Stop Loss Hit
6.2,2024-01-08,Monday,11:00:00,107.85,65,PE,21650.0,Sell,2024-01-08,Monday,11:09:00,129.4,-1400.7500000000007,-19.98145572554475,2024-01-11,,,Stop Loss Hit
7,2024-01-09,,11:00:00,21680.05,,,,,2024-01-09,,14:13:00,21653.05,-2245.75,,,195.0,-2245.75,
7.1,2024-01-09,Tuesday,11:00:00,87.2,65,CE,21700.0,Sell,2024-01-09,Tuesday,11:49:00,104.65,-1134.2500000000002,-20.01146788990826,2024-01-11,,,Stop Loss Hit
7.2,2024-01-09,Tuesday,11:00:00,85.6,65,PE,21700.0,Sell,2024-01-09,Tuesday,14:13:00,102.7,-1111.5000000000005,-19.976635514018703,2024-01-11,,,Stop Loss Hit
8,2024-01-10,,11:00:00,21525.6,,,,,2024-01-10,,12:46:00,21479.55,-1989.0,,,539.5,-1989.0,
8.1,2024-01-10,Wednesday,11:00:00,63.25,65,CE,21550.0,Sell,2024-01-10,Wednesday,11:40:00,75.9,-822.2500000000003,-20.000000000000007,2024-01-11,,,Stop Loss Hit
8.2,2024-01-10,Wednesday,11:00:00,89.75,65,PE,21550.0,Sell,2024-01-10,Wednesday,12:46:00,107.7,-1166.7500000000002,-20.000000000000004,2024-01-11,,,Stop Loss Hit
9,2024-01-11,,11:00:00,21657.8,,,,,2024-01-11,,12:33:00,21670.55,-630.5,,,71.5,-630.5,
9.1,2024-01-11,Thursday,11:00:00,24.75,65,CE,21650.0,Sell,2024-01-11,Thursday,12:33:00,29.7,-321.74999999999994,-19.999999999999996,2024-01-11,,,Stop Loss Hit
9.2,2024-01-11,Thursday,11:00:00,23.7,65,PE,21650.0,Sell,2024-01-11,Thursday,11:10:00,28.45,-308.75,-20.042194092827003,2024-01-11,,,Stop Loss Hit
10,2024-01-12,,11:00:00,21836.3,,,,,2024-01-12,,15:15:00,21876.55,-308.75,,,845.0,-916.5,Exit Condition Met For Trade
10.1,2024-01-12,Friday,11:00:00,143.2,65,CE,21850.0,Sell,2024-01-12,Friday,13:41:00,171.85,-1862.2500000000005,-20.00698324022347,2024-01-18,,,Stop Loss Hit
10.2,2024-01-12,Friday,11:00:00,130.35,65,PE,21850.0,Sell,2024-01-12,Friday,15:15:00,106.45,1553.4999999999995,18.335251246643647,2024-01-18,,,Exit Condition Met For Trade
11,2024-01-15,,11:00:00,22046.8,,,,,2024-01-15,,15:15:00,22086.9,247.0,,,500.5,-997.75,Exit Condition Met For Trade
11.1,2024-01-15,Monday,11:00:00,120.05,65,CE,22050.0,Sell,2024-01-15,Monday,14:06:00,144.05,-1560.000000000001,-19.991670137442743,2024-01-18,,,Stop Loss Hit
11.2,2024-01-15,Monday,11:00:00,116.35,65,PE,22050.0,Sell,2024-01-15,Monday,15:15:00,88.55,1806.9999999999998,23.893425010743442,2024-01-18,,,Exit Condition Met For Trade
12,2024-01-16,,11:00:00,22113.75,,,,,2024-01-16,,15:15:00,22034.3,1826.5,,,2733.25,-13.0,Exit Condition Met For Trade
12.1,2024-01-16,Tuesday,11:00:00,105.35,65,CE,22100.0,Sell,2024-01-16,Tuesday,15:15:00,58.35,3054.9999999999995,44.61319411485524,2024-01-18,,,Exit Condition Met For Trade
12.2,2024-01-16,Tuesday,11:00:00,94.5,65,PE,22100.0,Sell,2024-01-16,Tuesday,12:10:00,113.4,-1228.5000000000005,-20.000000000000004,2024-01-18,,,Stop Loss Hit
13,2024-01-17,,11:00:00,21739.35,,,,,2024-01-17,,15:15:00,21589.75,3230.5,,,3640.0,-344.5,Exit Condition Met For Trade
13.1,2024-01-17,Wednesday,11:00:00,88.85,65,CE,21750.0,Sell,2024-01-17,Wednesday,15:15:00,23.8,4228.25,73.21328081035453,2024-01-18,,,Exit Condition Met For Trade
13.2,2024-01-17,Wednesday,11:00:00,76.85,65,PE,21750.0,Sell,2024-01-17,Wednesday,11:38:00,92.2,-997.7500000000006,-19.9739752765127,2024-01-18,,,Stop Loss Hit
14,2024-01-18,,11:00:00,21466.5,,,,,2024-01-18,,11:10:00,21488.05,-1010.75,,,175.5,-1010.75,
14.1,2024-01-18,Thursday,11:00:00,41.55,65,CE,21450.0,Sell,2024-01-18,Thursday,11:10:00,49.85,-539.5000000000002,-19.975932611311684,2024-01-18,,,Stop Loss Hit
14.2,2024-01-18,Thursday,11:00:00,34.95,65,PE,21450.0,Sell,2024-01-18,Thursday,11:03:00,42.2,-471.25,-20.743919885550785,2024-01-18,,,Stop Loss Hit
15,2024-01-19,,11:00:00,21623.95,,,,,2024-01-19,,15:15:00,21619.75,-2210.0,,,0,-3256.5,Exit Condition Met For Trade
15.1,2024-01-19,Friday,11:00:00,175.1,65,CE,21600.0,Sell,2024-01-19,Friday,15:15:00,182.75,-497.25000000000034,-4.368932038834955,2024-01-25,,,Exit Condition Met For Trade
15.2,2024-01-19,Friday,11:00:00,131.7,65,PE,21600.0,Sell,2024-01-19,Friday,11:09:00,158.05,-1712.7500000000014,-20.007593014426746,2024-01-25,,,Stop Loss Hit
16,2024-01-20,,11:00:00,21668.5,,,,,2024-01-20,,15:15:00,21578.2,1423.5,,,2554.5,-630.5,Exit Condition Met For Trade
16.1,2024-01-20,Saturday,11:00:00,159.7,65,CE,21650.0,Sell,2024-01-20,Saturday,15:15:00,115.0,2905.499999999999,27.989981214777703,2024-01-25,,,Exit Condition Met For Trade
16.2,2024-01-20,Saturday,11:00:00,113.95,65,PE,21650.0,Sell,2024-01-20,Saturday,12:36:00,136.75,-1481.9999999999998,-20.008775778850367,2024-01-25,,,Stop Loss Hit
17,2024-01-23,,11:00:00,21562.15,,,,,2024-01-23,,15:15:00,21239.5,5460.0,,,5827.25,-341.25,Exit Condition Met For Trade
17.1,2024-01-23,Tuesday,11:00:00,128.5,65,CE,21550.0,Sell,2024-01-23,Tuesday,15:15:00,23.15,6847.75,81.98443579766537,2024-01-25,,,Exit Condition Met For Trade
17.2,2024-01-23,Tuesday,11:00:00,106.85,65,PE,21550.0,Sell,2024-01-23,Tuesday,11:32:00,128.2,-1387.7499999999995,-19.98128217126813,2024-01-25,,,Stop Loss Hit
18,2024-01-24,,11:00:00,21369.2,,,,,2024-01-24,,14:42:00,21412.15,-2791.75,,,3854.5,-2791.75,
18.1,2024-01-24,Wednesday,11:00:00,125.85,65,CE,21350.0,Sell,2024-01-24,Wednesday,14:42:00,151.0,-1634.7500000000005,-19.98410806515694,2024-01-25,,,Stop Loss Hit
18.2,2024-01-24,Wednesday,11:00:00,89.1,65,PE,21350.0,Sell,2024-01-24,Wednesday,11:27:00,106.9,-1157.0000000000007,-19.97755331088666,2024-01-25,,,Stop Loss Hit
19,2024-01-25,,11:00:00,21258.1,,,,,2024-01-25,,15:15:00,21343.3,3383.25,,,3383.25,0,Exit Condition Met For Trade
19.1,2024-01-25,Thursday,11:00:00,66.55,65,CE,21250.0,Sell,2024-01-25,Thursday,11:19:00,79.85,-864.4999999999998,-19.984973703981964,2024-01-25,,,Stop Loss Hit
19.2,2024-01-25,Thursday,11:00:00,65.45,65,PE,21250.0,Sell,2024-01-25,Thursday,15:15:00,0.1,4247.750000000001,99.8472116119175,2024-01-25,,,Exit Condition Met For Trade
20,2024-01-29,,11:00:00,21628.15,,,,,2024-01-29,,15:15:00,21741.55,-461.5,,,1118.0,-2184.0,Exit Condition Met For Trade
20.1,2024-01-29,Monday,11:00:00,211.7,65,CE,21650.0,Sell,2024-01-29,Monday,13:01:00,254.05,-2752.7500000000014,-20.004723665564487,2024-02-01,,,Stop Loss Hit
20.2,2024-01-29,Monday,11:00:00,162.95,65,PE,21650.0,Sell,2024-01-29,Monday,15:15:00,127.7,2291.249999999999,21.632402577477748,2024-02-01,,,Exit Condition Met For Trade
21,2024-01-30,,11:00:00,21705.45,,,,,2024-01-30,,15:15:00,21527.35,4868.5,,,5437.25,0,Exit Condition Met For Trade
21.1,2024-01-30,Tuesday,11:00:00,190.35,65,CE,21700.0,Sell,2024-01-30,Tuesday,15:15:00,84.9,6854.249999999999,55.39795114263199,2024-02-01,,,Exit Condition Met For Trade
21.2,2024-01-30,Tuesday,11:00:00,152.7,65,PE,21700.0,Sell,2024-01-30,Tuesday,14:27:00,183.25,-1985.7500000000007,-20.006548788474138,2024-02-01,,,Stop Loss Hit
22,2024-01-31,,11:00:00,21649.35,,,,,2024-01-31,,15:15:00,21727.65,-698.75,,,32.5,-2479.75,Exit Condition Met For Trade
22.1,2024-01-31,Wednesday,11:00:00,148.15,65,CE,21650.0,Sell,2024-01-31,Wednesday,11:32:00,177.8,-1927.2500000000005,-20.013499831252112,2024-02-01,,,Stop Loss Hit
22.2,2024-01-31,Wednesday,11:00:00,109.85,65,PE,21650.0,Sell,2024-01-31,Wednesday,15:15:00,90.95,1228.4999999999995,17.20527992717341,2024-02-01,,,Exit Condition Met For Trade
23,2024-02-01,,11:00:00,21797.1,,,,,2024-02-01,,11:07:00,21775.7,-2408.25,,,0,-2408.25,
23.1,2024-02-01,Thursday,11:00:00,85.5,65,CE,21800.0,Sell,2024-02-01,Thursday,11:03:00,102.6,-1111.4999999999995,-19.999999999999996,2024-02-01,,,Stop Loss Hit
23.2,2024-02-01,Thursday,11:00:00,99.65,65,PE,21800.0,Sell,2024-02-01,Thursday,11:07:00,119.6,-1296.7499999999993,-20.0200702458605,2024-02-01,,,Stop Loss Hit
24,2024-02-02,,11:00:00,21939.0,,,,,2024-02-02,,12:32:00,21870.7,-4056.0,,,32.5,-4056.0,
24.1,2024-02-02,Friday,11:00:00,185.85,65,CE,21950.0,Sell,2024-02-02,Friday,11:16:00,223.0,-2414.7500000000005,-19.98923863330643,2024-02-08,,,Stop Loss Hit
24.2,2024-02-02,Friday,11:00:00,126.2,65,PE,21950.0,Sell,2024-02-02,Friday,12:32:00,151.45,-1641.249999999999,-20.007923930269403,2024-02-08,,,Stop Loss Hit
25,2024-02-05,,11:00:00,21909.95,,,,,2024-02-05,,15:15:00,21771.5,2798.25,,,3428.75,-139.75,Exit Condition Met For Trade
25.1,2024-02-05,Monday,11:00:00,149.8,65,CE,21900.0,Sell,2024-02-05,Monday,15:15:00,76.95,4735.250000000001,48.63150867823765,2024-02-08,,,Exit Condition Met For Trade
25.2,2024-02-05,Monday,11:00:00,149.1,65,PE,21900.0,Sell,2024-02-05,Monday,14:36:00,178.9,-1937.0000000000007,-19.98658618376929,2024-02-08,,,Stop Loss Hit
26,2024-02-06,,11:00:00,21845.6,,,,,2024-02-06,,15:15:00,21919.45,952.25,,,1631.5,-676.0,Exit Condition Met For Trade
26.1,2024-02-06,Tuesday,11:00:00,124.55,65,CE,21850.0,Sell,2024-02-06,Tuesday,11:35:00,149.45,-1618.4999999999995,-19.991971095945395,2024-02-08,,,Stop Loss Hit
26.2,2024-02-06,Tuesday,11:00:00,132.25,65,PE,21850.0,Sell,2024-02-06,Tuesday,15:15:00,92.7,2570.75,29.9054820415879,2024-02-08,,,Exit Condition Met For Trade
27,2024-02-07,,11:00:00,21971.75,,,,,2024-02-07,,15:15:00,21933.55,981.5,,,2515.5,-893.75,Exit Condition Met For Trade
27.1,2024-02-07,Wednesday,11:00:00,105.9,65,CE,21950.0,Sell,2024-02-07,Wednesday,15:15:00,73.4,2112.5,30.68932955618508,2024-02-08,,,Exit Condition Met For Trade
27.2,2024-02-07,Wednesday,11:00:00,86.95,65,PE,21950.0,Sell,2024-02-07,Wednesday,11:07:00,104.35,-1130.9999999999995,-20.01150086256468,2024-02-08,,,Stop Loss Hit
28,2024-02-08,,11:00:00,21830.05,,,,,2024-02-08,,15:15:00,21714.75,1199.25,,,1199.25,-546.0,Exit Condition Met For Trade
28.1,2024-02-08,Thursday,11:00:00,32.5,65,CE,21850.0,Sell,2024-02-08,Thursday,15:15:00,0.1,2106.0,99.6923076923077,2024-02-08,,,Exit Condition Met For Trade
