date,symbol,kind,strike,algo_entry_time,our_entry_time,algo_entry_price,our_entry_price,diff,bar_m1_ts,bar_m1_open,bar_m1_high,bar_m1_low,bar_m1_close,bar_0_ts,bar_0_open,bar_0_high,bar_0_low,bar_0_close,bar_p1_ts,bar_p1_open,bar_p1_high,bar_p1_low,bar_p1_close
2024-02-28,NIFTY29FEB2422050PE,PE,22050,11:00:00,2024-02-28T10:59:59+00:00,98.45,99.05,+0.60,2024-02-28 10:58:59,87.65,97.55,86.35,90.40,2024-02-28 10:59:59,91.10,99.05,88.60,99.05,2024-02-28 11:00:59,99.90,121.25,99.90,113.25
2024-03-26,NIFTY28MAR2422050CE,CE,22050,11:00:00,2024-03-26T10:59:59+00:00,130.00,129.95,-0.05,2024-03-26 10:58:59,133.60,133.60,130.85,132.00,2024-03-26 10:59:59,131.95,132.25,128.95,129.95,2024-03-26 11:00:59,129.80,131.25,127.15,129.10
2024-03-27,NIFTY28MAR2422150CE,CE,22150,11:00:00,2024-03-27T10:59:59+00:00,99.75,99.70,-0.05,2024-03-27 10:58:59,102.35,102.35,100.05,101.05,2024-03-27 10:59:59,101.50,102.30,99.00,99.70,2024-03-27 11:00:59,99.30,101.75,99.00,101.15
2024-03-27,NIFTY28MAR2422150PE,PE,22150,11:00:00,2024-03-27T10:59:59+00:00,59.40,59.60,+0.20,2024-03-27 10:58:59,58.10,59.65,58.00,58.40,2024-03-27 10:59:59,58.20,59.95,57.50,59.60,2024-03-27 11:00:59,59.25,59.45,57.50,58.30
2024-03-28,NIFTY28MAR2422350CE,CE,22350,11:00:00,2024-03-28T10:59:59+00:00,62.65,62.40,-0.25,2024-03-28 10:58:59,62.80,63.20,60.60,62.85,2024-03-28 10:59:59,63.15,64.75,61.25,62.40,2024-03-28 11:00:59,62.35,66.45,61.60,65.00
2024-03-28,NIFTY28MAR2422350PE,PE,22350,11:00:00,2024-03-28T10:59:59+00:00,36.30,36.55,+0.25,2024-03-28 10:58:59,36.75,37.90,36.10,36.15,2024-03-28 10:59:59,35.90,37.10,35.75,36.55,2024-03-28 11:00:59,36.20,36.35,33.85,34.30
2024-06-06,NIFTY06JUN2422900PE,PE,22900,11:00:00,2024-06-06T10:59:59+00:00,97.55,96.50,-1.05,2024-06-06 10:58:59,117.15,117.65,110.80,110.80,2024-06-06 10:59:59,109.70,109.70,96.50,96.50,2024-06-06 11:00:59,98.35,101.90,94.05,101.85
2024-06-13,NIFTY13JUN2423400CE,CE,23400,11:00:00,2024-06-13T10:59:59+00:00,20.95,20.55,-0.40,2024-06-13 10:58:59,24.75,25.50,22.65,23.05,2024-06-13 10:59:59,23.20,23.25,20.55,20.55,2024-06-13 11:00:59,21.10,21.65,20.05,21.10
2024-06-20,NIFTY20JUN2423550PE,PE,23550,11:00:00,2024-06-20T10:59:59+00:00,60.65,60.00,-0.65,2024-06-20 10:58:59,65.85,67.75,63.80,63.85,2024-06-20 10:59:59,64.35,65.35,60.00,60.00,2024-06-20 11:00:59,60.70,60.70,54.00,56.00
2024-07-11,NIFTY11JUL2424250CE,CE,24250,11:00:00,2024-07-11T10:59:59+00:00,22.65,22.50,-0.15,2024-07-11 10:58:59,25.90,25.95,24.55,25.10,2024-07-11 10:59:59,25.10,25.50,22.50,22.50,2024-07-11 11:00:59,22.85,27.00,20.70,27.00
2024-09-30,NIFTY03OCT2425950CE,CE,25950,11:00:00,2024-09-30T10:59:59+00:00,133.80,136.30,+2.50,2024-09-30 10:58:59,141.50,141.50,137.40,138.35,2024-09-30 10:59:59,138.05,139.90,136.30,136.30,2024-09-30 11:00:59,133.35,136.80,127.75,136.05
2024-09-30,NIFTY03OCT2425950PE,PE,25950,11:00:00,2024-09-30T10:59:59+00:00,108.90,107.90,-1.00,2024-09-30 10:58:59,103.35,107.30,103.35,105.75,2024-09-30 10:59:59,105.50,107.90,103.90,107.90,2024-09-30 11:00:59,109.50,117.95,104.75,105.15
2024-10-01,NIFTY03OCT2425800CE,CE,25800,11:00:00,2024-10-01T10:59:59+00:00,94.35,94.40,+0.05,2024-10-01 10:58:59,75.90,81.60,75.80,81.60,2024-10-01 10:59:59,81.45,98.80,80.70,94.40,2024-10-01 11:00:59,96.10,96.10,85.10,85.10
2024-10-01,NIFTY03OCT2425800PE,PE,25800,11:00:00,2024-10-01T10:59:59+00:00,90.70,91.20,+0.50,2024-10-01 10:58:59,119.25,119.25,110.85,111.05,2024-10-01 10:59:59,110.85,111.25,85.30,91.20,2024-10-01 11:00:59,87.75,106.30,87.75,106.30
