day       , kind, symbol             , entry                    , stop  , max_high_after_entry, first_hit_after_entry    , our_exit                 , algo_exit, delta_seconds_our_minus_algo, algo_remarks                , classification      , reason
2024-01-08, CE  , NIFTY11JAN2421650CE, 2024-01-08T10:59:59+00:00, 114.48,               104.45,                          , 2024-01-08T15:15:59+00:00, 15:02:00 , 839                         , Stop Loss Hit               , data-mismatch-no-hit, No post-entry bar high reaches stop in local data
2024-01-08, PE  , NIFTY11JAN2421650PE, 2024-01-08T10:59:59+00:00, 129.42,               190.45, 2024-01-08T11:08:59+00:00, 2024-01-08T11:08:59+00:00, 11:09:00 , -1                          , Stop Loss Hit               , minute-offset       , Stop trigger aligns within 1 minute (timestamp convention)
2024-04-12, CE  , NIFTY18APR2422650CE, 2024-04-12T10:59:59+00:00, 151.56,               151.55,                          , 2024-04-12T15:15:59+00:00, 11:59:00 , 11819                       , Stop Loss Hit               , data-mismatch-no-hit, No post-entry bar high reaches stop in local data
2024-04-12, PE  , NIFTY18APR2422650PE, 2024-04-12T10:59:59+00:00, 133.80,               176.55, 2024-04-12T12:36:59+00:00, 2024-04-12T12:36:59+00:00, 12:37:00 , -1                          , Stop Loss Hit               , minute-offset       , Stop trigger aligns within 1 minute (timestamp convention)
2024-08-01, CE  , NIFTY01AUG2425000CE, 2024-08-01T10:59:59+00:00,  58.02,                57.35,                          , 2024-08-01T15:15:59+00:00, 11:14:00 , 14519                       , Stop Loss Hit               , data-mismatch-no-hit, No post-entry bar high reaches stop in local data
2024-08-01, PE  , NIFTY01AUG2425000PE, 2024-08-01T10:59:59+00:00,  29.64,                45.50, 2024-08-01T11:49:59+00:00, 2024-08-01T11:49:59+00:00, 11:43:00 , 419                         , Stop Loss Hit               , timing-mismatch     , Our stop/exit occurs later than Algotest
2024-09-13, CE  , NIFTY19SEP2425350CE, 2024-09-13T10:59:59+00:00, 177.18,               168.35,                          , 2024-09-13T15:15:59+00:00, 15:15:00 , 59                          , Exit Condition Met For Trade, non-stop-control    , Algotest leg is not stop-exit baseline
2024-09-13, PE  , NIFTY19SEP2425350PE, 2024-09-13T10:59:59+00:00, 150.48,               149.90,                          , 2024-09-13T15:15:59+00:00, 15:01:00 , 899                         , Stop Loss Hit               , data-mismatch-no-hit, No post-entry bar high reaches stop in local data
2024-11-28, CE  , NIFTY28NOV2424100CE, 2024-11-28T10:59:59+00:00, 104.04,               103.20,                          , 2024-11-28T15:15:59+00:00, 11:03:00 , 15179                       , Stop Loss Hit               , data-mismatch-no-hit, No post-entry bar high reaches stop in local data
2024-11-28, PE  , NIFTY28NOV2424100PE, 2024-11-28T10:59:59+00:00,  93.60,               280.00, 2024-11-28T10:59:59+00:00, 2024-11-28T11:04:59+00:00, 11:05:00 , -1                          , Stop Loss Hit               , minute-offset       , Stop trigger aligns within 1 minute (timestamp convention)
2024-12-11, CE  , NIFTY12DEC2424650CE, 2024-12-11T10:59:59+00:00, 104.70,               110.00, 2024-12-11T11:37:59+00:00, 2024-12-11T11:37:59+00:00, 11:38:00 , -1                          , Stop Loss Hit               , minute-offset       , Stop trigger aligns within 1 minute (timestamp convention)
2024-12-11, PE  , NIFTY12DEC2424650PE, 2024-12-11T10:59:59+00:00,  93.78,                92.20,                          , 2024-12-11T15:15:59+00:00, 12:40:00 , 9359                        , Stop Loss Hit               , data-mismatch-no-hit, No post-entry bar high reaches stop in local data
